Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, X, Y 
3/3/2016,, GENERAL EUGENIO GARZON, COLISIÓN ENTRE VEHÍCULOS, GRAVE, JUEVES, 12, ARTIGAS, ARTIGAS, 550125, 6635525 
5/5/2016,, JUAN ORTIZ, CAÍDA, LEVE, JUEVES, 7, TACUAREMBO, TACUAREMBO, 596375, 6490085 
11/9/2016,, EXODO, ATROPELLO DE PEATÓN, LEVE, MIÉRCOLES, 14, PAYSANDU, PAYSANDU, 399445, 6425610 
6/9/2016,, TOMAS BERRETA, COLISIÓN ENTRE VEHÍCULOS, GRAVE, JUEVES, 14, ARTIGAS, ARTIGAS, 551320, 6636505 
10/5/2016,, COSTANERA SUR TOMAS BERRETA, ATROPELLO DE ANIMALES, LEVE, MIÉRCOLES, 5, SALTO, SALTO, 406470, 6526040 
9/22/2016,, AVENIDA 1825, ATROPELLO DE ANIMALES, LEVE, JUEVES, 15, RIVERA, RIVERA, 638080, 6581510 
4/27/2016,, LUIS BATLLE BERRES Y GARIBALDI, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 20, SALTO, SIN DATOS, 410445, 6530180 
8/13/2016,, DIECINUEVE DE ABRIL, DESPISTE, SIN LESIONADOS, SÁBADO, 23, PAYSANDU, PAYSANDU, 397900, 6423565 
5/19/2016,, RUTA 3 KM 428, DESPISTE, SIN LESIONADOS, JUEVES, 20, PAYSANDU, SIN DATOS, 418070, 6473885 
3/17/2016,, AVENIDA SARANDI, ATROPELLO DE PEATÓN, LEVE, JUEVES, 17, RIVERA, RIVERA, 639165, 6579975 
8/11/2016,, , DESPISTE, LEVE, JUEVES, 16, ARTIGAS, SIN DATOS, 539195, 6642760 
9/15/2016,, GENERAL JUAN ANTONIO LAVALLEJA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, JUEVES, 15, RIO NEGRO, FRAY BENTOS, 378300, 6334775 
2/4/2016,, TREINTA Y TRES ORIENTALES, ATROPELLO DE PEATÓN, LEVE, JUEVES, 17, RIVERA, RIVERA, 639815, 6581000 
12/8/2016,, AVENIDA LIBANO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, JUEVES, 22, RIVERA, RIVERA, 641535, 6580270 
11/10/2016,, INTENDENTE OLIVER, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 15, TACUAREMBO, TACUAREMBO, 595400, 6491295 
10/13/2016,, ZELMAR MICHELINI, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, JUEVES, 10, SALTO, SALTO, 409170, 6526145 
11/24/2016,, REPUBLICA ARGENTINA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, JUEVES, 18, TACUAREMBO, TACUAREMBO, 595090, 6490340 
8/24/2016,, ZELMAR MICHELINI, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 11, TACUAREMBO, TACUAREMBO, 595580, 6490700 
