Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, X, Y 
9/16/2016,, GENERAL JOSE G. ARTIGAS, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 10, MALDONADO, PIRIAPOLIS, 658055, 6142660 
3/18/2016,, FRANCIA, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 20, MALDONADO, PUNTA DEL ESTE, 687635, 6131905 
10/28/2016,,  ALBERTO CL CARACARA, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 12, MALDONADO, MALDONADO, 688745, 6136410 
10/19/2016,, LAVALLEJA Y AROSTEGUI, COLISIÓN ENTRE VEHÍCULOS, GRAVE, MIÉRCOLES, 14, LAVALLEJA, MINAS, 662395, 6194065 
4/22/2016,, ROMAN GUERRA, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 14, MALDONADO, MALDONADO, 686695, 6136110 
7/8/2016,, AVENIDA JOAQUIN DE VIANA Y LUSSICH, CAÍDA, LEVE, VIERNES, 11, MALDONADO, MALDONADO, 686070, 6134995 
12/23/2016,, AVENIDA EDUARDO VICTOR HAEDO (RUTA 10), COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 1, MALDONADO, MANANTIALES, 698600, 6135280 
9/23/2016,, DOCTOR LUIS ALBERTO DE HERRERA, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN LESIONADOS, VIERNES, 19, CERRO LARGO, MELO, 766005, 6415125 
3/11/2016,, EJIDO, CAÍDA, LEVE, VIERNES, 12, MALDONADO, SAN CARLOS, 690915, 6148550 
12/6/2016,, CALLE 28, COLISIÓN ENTRE VEHÍCULOS, GRAVE, MARTES, 14, LAVALLEJA, MINAS, 661670, 6196930 
5/13/2016,, 18 DE JULIO  DIEGO LAMAS, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 13, LAVALLEJA, PIRARAJA, 707505, 6264395 
