Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, X, Y 
3/18/2017,, BOULEVARD GENERAL JOSE G. ARTIGAS, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 14, PAYSANDU, PAYSANDU, 399255, 6424250 
11/4/2017,, MAESTRA MARIA E. CASTRILLON, ATROPELLO DE ANIMALES, GRAVE, SÁBADO, 23, TACUAREMBO, TACUAREMBO, 597220, 6491410 
2/4/2017,, HECTOR GUTIERREZ RUIZ, CAÍDA, LEVE, SÁBADO, 19, TACUAREMBO, BALNEARIO IPORA, 598240, 6495775 
12/30/2017,, REPUBLICA ARGENTINA, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 10, PAYSANDU, PAYSANDU, 399570, 6423645 
7/22/2017,, DIECIOCHO DE JULIO, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 12, TACUAREMBO, TACUAREMBO, 596840, 6491145 
4/29/2017,, GENERAL FRUCTUOSO RIVERA, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 14, RIVERA, TRANQUERAS, 618035, 6549220 
1/28/2017,, AVENIDA PARAGUAY, CAÍDA, LEVE, SÁBADO, 16, SALTO, SALTO, 407295, 6528360 
5/6/2017,, COSTANERA SUR TOMAS BERRETA, CAÍDA, LEVE, SÁBADO, 2, SALTO, SALTO, 406335, 6525980 
6/17/2017,, PARAGUAY, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 19, ARTIGAS, ARTIGAS, 550550, 6635675 
9/9/2017,, TREINTA Y TRES, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 16, TACUAREMBO, TACUAREMBO, 597050, 6491090 
2/11/2017,, CHARRUAS, ATROPELLO DE ANIMALES, GRAVE, SÁBADO, 15, PAYSANDU, PAYSANDU, 398880, 6424070 
12/9/2017,, GUIDO MACHADO BRUM, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 20, RIVERA, RIVERA, 639230, 6577720 
6/3/2017,, PRESIDENTE KENNEDY, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 21, RIVERA, VICHADERO, 718415, 6481765 
2/11/2017,, CAMINO INTERNO CAMPING LA PICADA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 16, TACUAREMBO, PASO DE LOS TOROS, 546765, 6368655 
1/28/2017,, AVENIDA SARANDI, ATROPELLO DE PEATÓN, LEVE, SÁBADO, 16, RIVERA, RIVERA, 639655, 6580750 
4/8/2017,, DIECIOCHO DE JULIO, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 10, TACUAREMBO, TACUAREMBO, 596085, 6490355 
3/11/2017,, PAUL HARRIS, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 13, TACUAREMBO, TACUAREMBO, 597135, 6491600 
9/16/2017,, FERNANDO SECCO APARICIO, COLISIÓN CON OBSTÁCULO EN CALZADA, LEVE, SÁBADO, 4, TACUAREMBO, TACUAREMBO, 598355, 6492200 
12/16/2017,, HECTOR GUTIERREZ RUIZ, CAÍDA, LEVE, SÁBADO, 23, TACUAREMBO, PASO DE LOS TOROS, 545350, 6369315 
12/30/2017,, SAN MARTIN, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 23, TACUAREMBO, TACUAREMBO, 596305, 6489845 
11/4/2017,, SANTIN CARLOS ROSSI, COLISIÓN ENTRE VEHÍCULOS, GRAVE, SÁBADO, 12, TACUAREMBO, PASO DE LOS TOROS, 544420, 6370180 
10/28/2017,, WILSON FERREIRA ALDUNATE, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 16, RIO NEGRO, FRAY BENTOS, 379180, 6334370 
11/25/2017,, ZORRILLA DE SAN MARTIN, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 0, PAYSANDU, PAYSANDU, 398405, 6425145 
3/25/2017,, GENERAL TEOFILO CORDOBA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 1, SALTO, SALTO, 409135, 6528155 
2/25/2017,, DIECIOCHO DE JULIO, COLISIÓN CON OBSTÁCULO EN CALZADA, LEVE, SÁBADO, 2, SALTO, SALTO, 408505, 6526090 
1/14/2017,, DIECIOCHO DE JULIO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 22, RIVERA, TRANQUERAS, 618370, 6548045 
8/5/2017,, GENERAL FRUCTUOSO RIVERA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 18, SALTO, SALTO, 410745, 6526525 
12/23/2017,, ZORRILLA DE SAN MARTIN, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 21, PAYSANDU, PAYSANDU, 398470, 6425570 
9/20/2017,, FRANCISCO ACUÑA DE FIGUEROA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 19, SALTO, SALTO, 408215, 6526135 
6/10/2017,, DOCTOR JOSE VEROCAY, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 11, PAYSANDU, PAYSANDU, 399085, 6424045 
8/26/2017,, WILSON FERREIRA ALDUNATE, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 17, RIO NEGRO, YOUNG, 442185, 6381940 
7/22/2017,, RUTA PUENTE PUERTO, ATROPELLO DE ANIMALES, SIN LESIONADOS, SÁBADO, 5, RIO NEGRO, FRAY BENTOS, 378710, 6335150 
10/28/2017,, CALLE 9, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 7, PAYSANDU, PORVENIR, 408905, 6415525 
1/28/2017,, VENTURA SENA, COLISIÓN CON OBSTÁCULO EN CALZADA, LEVE, SÁBADO, 16, RIO NEGRO, BARRIO ANGLO, 375650, 6334575 
7/22/2017,, GENERAL JOSE G. ARTIGAS, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 0, SALTO, SALTO, 408465, 6526875 
3/11/2017,, SIMON BOLIVAR, COLISIÓN ENTRE VEHÍCULOS, GRAVE, SÁBADO, 21, TACUAREMBO, TACUAREMBO, 597185, 6490410 
8/5/2017,, FLORENCIO SANCHEZ, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 13, RIVERA, RIVERA, 639035, 6580535 
12/16/2017,, DOCTOR JOSE VEROCAY, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 9, PAYSANDU, PAYSANDU, 399130, 6424375 
10/28/2017,, WASHINGTON, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 8, PAYSANDU, PAYSANDU, 399100, 6424155 
4/22/2017,, JOSE PEDRO VARELA, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 8, PAYSANDU, GUICHON, 480800, 6420430 
10/7/2017,, OCHO DE OCTUBRE, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 23, SALTO, SALTO, 409195, 6527410 
11/25/2017,, GRITO DE ASENCIO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 13, PAYSANDU, PAYSANDU, 399960, 6425160 
12/16/2017,, FLORIDA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 20, PAYSANDU, PAYSANDU, 397385, 6424105 
12/30/2017,, DOCTOR ZEIRAMIDES ZEBALLOS, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 14, RIO NEGRO, YOUNG, 440660, 6382040 
4/22/2017,, VEINTICINCO DE AGOSTO, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 1, ARTIGAS, ARTIGAS, 550375, 6636400 
5/6/2017,, TREINTA Y TRES, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 8, ARTIGAS, BELLA UNION, 442820, 6652260 
2/25/2017,, ACCESO NORTE, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 23, SALTO, CHACRAS DE BELEN, 429015, 6593585 
12/2/2017,, DOCTOR ZEIRAMIDES ZEBALLOS, COLISIÓN CON OBSTÁCULO EN CALZADA, GRAVE, SÁBADO, 5, RIO NEGRO, YOUNG, 441040, 6381825 
7/22/2017,, C. CATALOGNE, COLISIÓN CON OBSTÁCULO EN CALZADA, LEVE, SÁBADO, 17, TACUAREMBO, TACUAREMBO, 595645, 6490775 
10/14/2017,, AVENIDA SARANDI, ATROPELLO DE ANIMALES, LEVE, SÁBADO, 22, SALTO, SALTO, 407930, 6526000 
2/25/2017,, MANUEL FREIRE, ATROPELLO DE PEATÓN, GRAVE, SÁBADO, 22, RIVERA, RIVERA, 637510, 6582835 
