Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, X, Y 
8/26/2017,, NO SE INGRESO, ATROPELLO DE ANIMALES, SIN LESIONADOS, SÁBADO, 23, FLORIDA, SIN DATOS, 570030, 6232280 
6/17/2017,, CARLOS MARIA RAMIREZ, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 8, FLORES, TRINIDAD, 509340, 6291600 
8/5/2017,, CORALIO LACOSTA, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 4, FLORIDA, FLORIDA, 572635, 6227230 
7/22/2017,, CAMINO GUAYCURÚ A 7KM DE RUTA 3. PUENTE PACHINA , CAÍDA, LEVE, SÁBADO, 15, SAN JOSE, SIN DATOS, 521125, 6206035 
6/17/2017,,  CAMINO ALDABALDE, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 10, CANELONES, BARRIO COPOLA, 569640, 6154020 
1/28/2017,, AVENIDA PEDRO BLANES VIALE, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 20, CANELONES, SIN DATOS, 570725, 6157550 
5/27/2017,, MANUEL CALLEROS, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 13, FLORIDA, FLORIDA, 572780, 6226665 
2/11/2017,, ITUZAINGO, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 2, SORIANO, MERCEDES, 404175, 6320805 
5/16/2017,, MANUEL D RODRIGUEZ, ATROPELLO DE ANIMALES, LEVE, MARTES, 19, SAN JOSE, SAN JOSE DE MAYO, 527040, 6201195 
2/4/2017,, CAMINO ANDALUZ KM 7, DESPISTE, GRAVE, SÁBADO, 4, CANELONES, JOAQUIN SUAREZ, 587700, 6155755 
11/18/2017,, NO SE INGRESO, DESPISTE, SIN LESIONADOS, SÁBADO, 18, CANELONES, NEPTUNIA, 601870, 6150395 
11/18/2017,, MOLUCAS, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN LESIONADOS, SÁBADO, 15, SAN JOSE, SIN DATOS, 558500, 6153765 
2/18/2017,, JOSE BATLLE Y ORDOÑEZ, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 17, CANELONES, SIN DATOS, 571035, 6152985 
7/4/2017,, SERAFIN RIVAS, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MARTES, 12, SORIANO, MERCEDES, 404095, 6320170 
5/31/2017,, JOSE PEDRO VARELA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 14, COLONIA, COLONIA DEL SACRAMENTO, 423000, 6185895 
12/5/2017,, RUTA CINCO VIEJA, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 6, CANELONES, SIN DATOS, 571080, 6157735 
9/16/2017,, NO SE INGRESO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 22, CANELONES, SIN DATOS, 627260, 6153380 
8/5/2017,, NO SE INGRESO, DESPISTE, SIN LESIONADOS, SÁBADO, 16, CANELONES, SIN DATOS, 642230, 6158010 
8/5/2017,, CAMINO AL PASO RIVERO, CAÍDA, LEVE, SÁBADO, 10, CANELONES, TALA, 613700, 6199515 
4/22/2017,, NO SE INGRESO, DESPISTE, SIN LESIONADOS, SÁBADO, 8, FLORIDA, SIN DATOS, 582625, 6226905 
9/5/2017,, RUTA 101 Y CAMINO BONILLA , COLISIÓN CON OBSTÁCULO EN CALZADA, LEVE, MARTES, 14, CANELONES, SOLYMAR, 595275, 6146405 
6/27/2017,, AVENIDA PEREZ BUTLER, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 13, CANELONES, EL PINAR, 600470, 6148085 
11/4/2017,, CENTRAL LAS ACACIAS, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 22, CANELONES, SIN DATOS, 614945, 6152320 
3/18/2017,, NO SE INGRESO, DESPISTE, SIN LESIONADOS, SÁBADO, 17, CANELONES, SIN DATOS, 569095, 6180910 
2/18/2017,, DOCTOR FRANCISCO SOCA, ATROPELLO DE PEATÓN, LEVE, SÁBADO, 15, CANELONES, SIN DATOS, 570715, 6156680 
6/17/2017,, MARTIN ETCHEGOYEN, CAÍDA, LEVE, SÁBADO, 14, DURAZNO, DURAZNO, 544290, 6305405 
10/28/2017,, NO SE INGRESO, DESPISTE, SIN LESIONADOS, SÁBADO, 20, COLONIA, SIN DATOS, 465585, 6247840 
4/15/2017,, NO SE INGRESO, DESPISTE, SIN LESIONADOS, SÁBADO, 17, FLORIDA, SIN DATOS, 570020, 6237750 
